Name,Year,Company,Transmission,KM_Driven,Fuel_Type,Owner,Registration,City,Original_Price,Sales_Price,Month,EMI(₹)
Volkswagen Ameo COMFORTLINE 1.0,2018,Volkswagen,MANUAL,79690,Petrol,1st Owner,RJ-19,Jaipur,505899,473099,Nov,9249
Maruti Eeco 5 STR WITH AC PLUSHTR,2019,Maruti,MANUAL,12539,Petrol,1st Owner,TN-07-x-xxxx,Chennai,493899,482899,Oct,9441
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2016,Hyundai,MANUAL,25055,Petrol,2nd Owner,MH-14,Pune,521099,474699,May,9280
KIA CARENS PRESTIGE PLUS 1.4G MT 7STR,2022,KIA,MANUAL,1532,Petrol,1st Owner,MH-43,Mumbai,1735699,1624199,Jun,30501
Maruti New  Wagon-R VXI 1.0,2021,Maruti,MANUAL,3720,Petrol,1st Owner,GJ-06,Ahmedabad,567299,567299,Jun,11091
Maruti Swift LXI,2020,Maruti,MANUAL,30620,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,607999,607999,Dec,11886
Hyundai Grand i10 ASTA 1.2 VTVT,2018,Hyundai,MANUAL,9631,Petrol,1st Owner,KA-02-x-xxxx,Bangalore,627199,627199,Mar,12262
Honda WR-V 1.5 i-DTEC VX MT,2018,Honda,MANUAL,49995,Diesel,1st Owner,KA-01-x-xxxx,Bangalore,885899,885899,Aug,16636
Hyundai VENUE 1.0 TURBO GDI SX+ AT,2019,Hyundai,AUTOMATIC,17838,Petrol,1st Owner,WB-08,Kolkata,1090699,1020199,Jun,19158
Maruti Swift VXI,2012,Maruti,MANUAL,35757,Petrol,3rd Owner,MH-03,Mumbai,319499,319499,Jun,6246
Honda Brio 1.2 S MT I VTEC,2014,Honda,MANUAL,57021,Petrol,3rd Owner,MH-12,Pune,366099,337199,Jul,6592
Maruti Swift ZXI,2021,Maruti,MANUAL,9428,Petrol,1st Owner,KA-05-x-xxxx,Bangalore,842199,837199,Apr,15722
Maruti Dzire VXI,2021,Maruti,MANUAL,5325,Petrol,2nd Owner,TN-09-x-xxxx,Chennai,740499,731699,Mar,14305
Hyundai i10 MAGNA 1.1 IRDE2,2011,Hyundai,MANUAL,34658,Petrol,2nd Owner,DL-4C,New Delhi,224599,224599,Jul,4391
Volkswagen Ameo HIGHLINE 1.2,2016,Volkswagen,MANUAL,64382,Petrol,2nd Owner,MH-03,Mumbai,495399,495399,Oct,9685
Renault TRIBER 1.0 RXZ,2019,Renault,MANUAL,9798,Petrol,1st Owner,MH-12,Pune,739799,709499,Sep,13871
KIA SELTOS HTX 1.5 PETROL MT,2020,KIA,MANUAL,13232,Petrol,1st Owner,KA-03-x-xxxx,Bangalore,1493199,1403599,Oct,26358
Hyundai Eon ERA PLUS,2014,Hyundai,MANUAL,21798,Petrol,1st Owner,AP-29-x-xxxx,Hyderabad,292799,292799,Jan,5724
Tata Hexa Varicor 400 XTA,2019,Tata,AUTOMATIC,37564,Diesel,1st Owner,MH-12,Pune,1497399,1471699,Jan,27637
Hyundai Eon ERA PLUS,2016,Hyundai,MANUAL,21690,Petrol,1st Owner,MH-12,Pune,290799,284599,Jan,5564
Maruti Alto LXI CNG,2021,Maruti,MANUAL,30144,Petrol + CNG,1st Owner,HR-26,New Delhi,505599,480599,Feb,9396
Hyundai i10 MAGNA 1.2,2009,Hyundai,MANUAL,85168,Petrol,2nd Owner,KL-07,Kochi,207699,183699,Oct,3591
Mahindra Scorpio S11,2021,Mahindra,MANUAL,9981,Diesel,1st Owner,MH-02,Mumbai,1782399,1662899,Nov,31228
Toyota Glanza G CVT,2020,Toyota,AUTOMATIC,41783,Petrol,1st Owner,MH-12,Pune,891299,839399,Aug,15763
Volkswagen Polo GT TSI 1.2 PETROL AT,2014,Volkswagen,AUTOMATIC,41194,Petrol,1st Owner,MH-01,Mumbai,569599,569599,Apr,11136
Honda City VX CVT PETROL,2020,Honda,AUTOMATIC,13369,Petrol,1st Owner,GJ-06,Ahmedabad,1243599,1236699,Feb,23224
KIA SELTOS 1.5 GTX+ AT,2020,KIA,AUTOMATIC,23502,Diesel,1st Owner,UP-32-x-xxxx,Lucknow,1809499,1731999,Oct,32525
Maruti Swift ZXI,2014,Maruti,MANUAL,43673,Petrol,1st Owner,AP-28-x-xxxx,Hyderabad,535499,525299,May,10270
Honda Amaze 1.2 SMT I VTEC,2013,Honda,MANUAL,92490,Petrol,2nd Owner,RJ-14,Jaipur,364199,354499,Apr,6931
Ford Ecosport 1.5 TITANIUMTDCI OPT,2014,Ford,MANUAL,84582,Diesel,1st Owner,MH-01,Mumbai,576299,571299,Jun,11169
Volkswagen TAIGUN HIGHLINE 1.0 TSI AT,2022,Volkswagen,MANUAL,6172,Petrol,1st Owner,GJ-01,Ahmedabad,1628099,1575399,Jul,29584
Hyundai Xcent E PLUS,2018,Hyundai,MANUAL,36913,Petrol,2nd Owner,WB-10,Kolkata,476999,435599,May,8516
KIA SONET GTX PLUS 1.5D  AT,2020,KIA,MANUAL,51657,Diesel,1st Owner,MH-12,Pune,1290099,1257499,Nov,23615
MG HECTOR SHARP 2.0 DIESEL,2019,MG,MANUAL,93193,Diesel,1st Owner,GJ-27,Ahmedabad,1640799,1491099,Aug,28001
Maruti New  Wagon-R LXI CNG 1.0 L,2020,Maruti,MANUAL,79333,Petrol + CNG,1st Owner,UP-32-x-xxxx,Lucknow,584099,584099,Jun,11419
Mahindra KUV 100 NXT K8 6 STR,2020,Mahindra,MANUAL,18626,Petrol,1st Owner,TN-22-x-xxxx,Chennai,758899,725799,Dec,14190
Maruti Wagon R 1.0 LXI CNG,2014,Maruti,MANUAL,71143,Petrol + CNG,1st Owner,MH-12,Pune,437399,407599,Dec,7969
Maruti Swift VXI,2018,Maruti,MANUAL,79345,Petrol,1st Owner,WB-06,Kolkata,557099,484299,May,9468
Maruti Swift Dzire ZDI,2015,Maruti,MANUAL,37712,Diesel,1st Owner,KA-01-x-xxxx,Bangalore,741699,731999,May,14311
KIA SELTOS HTK PLUS AT 1.5 DIESEL,2020,KIA,AUTOMATIC,57851,Diesel,1st Owner,TS-07-x-xxxx,Hyderabad,1460599,1328099,Feb,24940
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2018,Hyundai,MANUAL,17153,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,580599,519599,May,10158
Toyota Corolla Altis G,2016,Toyota,MANUAL,80440,Petrol,1st Owner,MH-43,Mumbai,845799,845799,Apr,15883
Tata Harrier XZ 2.0L Kryotec,2019,Tata,MANUAL,59371,Diesel,1st Owner,RJ-45,Jaipur,1552999,1394149,Oct,26181
Honda City V CVT,2021,Honda,AUTOMATIC,2374,Petrol,1st Owner,MH-12,Pune,1359899,1271999,Nov,23887
Maruti Alto K10 LXI,2013,Maruti,MANUAL,65913,Petrol,1st Owner,KL-39,Kochi,236699,223699,Sep,4373
Toyota Glanza V CVT,2021,Toyota,AUTOMATIC,14995,Petrol,1st Owner,MH-12,Pune,1027299,978399,Mar,18373
Tata TIGOR XZ PLUS 1.2 REVOTRON,2020,Tata,MANUAL,6262,Petrol,1st Owner,MH-05,Mumbai,694899,688299,Dec,13456
Hyundai i10 SPORTZ 1.2,2010,Hyundai,MANUAL,29714,Petrol,1st Owner,KL-08,Kochi,195399,195399,Mar,3820
Volkswagen Ameo COMFORTLINE 1.2,2016,Volkswagen,MANUAL,62345,Petrol,1st Owner,DL-14,New Delhi,453099,445199,Jul,8704
Maruti S Cross ALPHA 1.5 SMART HYBRID,2020,Maruti,MANUAL,39239,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,1167399,1167399,Aug,21923
Maruti New  Wagon-R ZXI 1.2,2019,Maruti,MANUAL,5866,Petrol,1st Owner,TN-18-x-xxxx,Chennai,602499,594899,Aug,11630
KIA SELTOS HTK PLUS 1.5 DIESEL,2020,KIA,MANUAL,55754,Diesel,1st Owner,MH-05,Mumbai,1421399,1296499,Feb,24347
KIA SELTOS GTK 1.4 GDI PETROL,2019,KIA,MANUAL,25481,Petrol,1st Owner,WB-24,Kolkata,1263899,1173399,Nov,22035
KIA SELTOS HTK 1.5 PETROL,2019,KIA,MANUAL,19788,Petrol,1st Owner,GJ-15,Ahmedabad,1095149,1022099,Oct,19194
